license_numbers,premise_address,_id,name_of_license,business_name,latitude,longitude,postal_code
B02034B000,"30 WOODLANDS AVENUE 1 WOODGROVE, S(739065)",47,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.42940278239402,103.781325393513,739065
B02035A000,"548 WOODLANDS DRIVE 44, #01-37/38 VISTA POINT, S(730548)",49,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.43044361849124,103.793804884379,730548
B02037X000,"883 WOODLANDS STREET 82, #01-498 WOODLANDS NORTH PLAZA, S(730883)",51,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.4428457006918,103.790825824274,730883
B02038P000,"925 YISHUN CENTRAL 1, #01-211, S(760925)",53,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.42823085122583,103.837450252524,760925
B02039N000,"293 YISHUN STREET 22, #01-261, S(760293)",55,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.43611425409216,103.837605235958,760293
B02041C000,"327 YISHUN RING ROAD, #01-1320, S(760327)",57,TAN KWEE ENG,hwa soon heng mini supermarket,1.43007109914643,103.842396446526,760327
B02060V000,"256 BANGKIT ROAD, #01-69, S(670256)",59,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.37904775583142,103.772937487128,670256
B02093B000,"301 YISHUN AVENUE 2, #01-02 YISHUN MRT STATION, S(769093)",61,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.42951728655037,103.835058273602,769093
B02099L000,"849 YISHUN RING ROAD, #01-3703, S(760849)",63,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.41696049844254,103.835347787187,760849
B03074A000,"44 JALAN MERAH SAGA, #01-50, S(278116)",65,THE BUTCHER (SINGAPORE) PTE. LTD.,The butcher,1.31192195425084,103.796844037126,278116
B03078N000,"34 GREENWOOD AVENUE, S(289236)",67,ROSWELL ENTERPRISE PTE LTD,Fish market,1.33183246511303,103.806492461663,289236
B03099C000,"628 SENJA ROAD, #01-01, S(670628)",69,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.38509602416727,103.760218434373,670628
B85098V000,"239 YISHUN RING ROAD, #01-1150, S(760239)",71,HAO MART PTE. LTD.,HAO MART,1.43359514649201,103.839685373602,760239
B92077A000,"418 YISHUN AVENUE 11, #01-433, S(760418)",101,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.4248993192219,103.847249789758,760418
B98014C000,"215 ANG MO KIO AVENUE 1, #01-877, S(560215)",102,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.36648772103091,103.841853392645,560215
B99041L000,"1 ORCHID CLUB ROAD, #01-34 ORCHID COUNTRY CLUB, S(769162)",103,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.41110357649475,103.844214479132,769162
C00033N000,"615 615 Bukit Timah Road, S(269716)",104,MEAT THE BUTCHER PTE. LTD.,Meat The Butcher,1.32437354224724,103.80935784628,269716
C02024A000,"1 FIFTH AVENUE, #01-05 GUTHRIE HOUSE, S(268802)",105,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.33087386606319,103.795700329256,268802
C02025V000,"293 HOLLAND ROAD COLD STORAGE JELITA, S(278628)",106,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.31756196675604,103.7858406179,278628
C02026X000,"2 JURONG EAST STREET 21, #01-100 IMM BUILDING, S(609601)",107,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.3346666186285,103.74695659203,609601
C02033V000,"154A BUKIT BATOK WEST AVENUE 8, #01-01, S(651154)",108,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.34737180152613,103.743698106143,651154
CE09512V000,"512 BISHAN STREET 13, #01-524, S(570512)",175,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.34962234975345,103.849881702733,570512
SW14017K000,"18 TOH GUAN ROAD EAST, #02-02 BLK 28, WESTLITE DORMITORY (TOH GUAN), S(608596)",78,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,SHAFEN SUPERMARKET & TRADING ,1.33641798183711,103.751807381961,608596
