license_numbers,premise_address,_id,name_of_license,business_name
S02037J000,"201B TAMPINES STREET 21, #01-1091, S(522201)",445,ONE SUPERMARKET PTE. LTD.,ONE SUPERMARKET
S02038E000,"829 TAMPINES STREET 81, #01-284/8, S(520829)",446,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
S02039C000,"4 TAMPINES CENTRAL 5, #B1-12 TAMPINES MALL, S(529510)",447,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02040X000,"823 TAMPINES STREET 81, #01-160, S(520823)",448,PRIME SUPERMARKET LIMITED,prime supermarket
S02041P000,"2 TAMPINES CENTRAL 5 CENTURY SQUARE, S(529509)",449,PRIME SUPERMARKET (1996) PTE LTD,Prime Food & Grocer
S02048B000,"739A BEDOK RESERVOIR ROAD, #01-01 MULTI STOREY CAR PARK, S(471739)",450,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG 1 STATION MARKET
S02049A000,"745 BEDOK RESERVOIR ROAD, #01-3015, S(470745)",451,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02051L000,"192 LORONG 4 TOA PAYOH, #01-672, S(310192)",452,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SCE19020X000,"2 ORCHARD TURN ION ORCHARD, S(238801)",478,COLD STORAGE SINGAPORE (1983) PTE LTD,Jasons Deli By Cold Storage
SCE20024E000,"1 KIM SENG PROMENADE GREAT WORLD CITY, S(237994)",479,RYAN'S GROCERY (GWC) PTE. LTD.,Ryan's Grocery
SCE20032E000,"2 SERANGOON ROAD TEKKA PLACE, S(218227)",480,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE04012L000,"2 JOO CHIAT ROAD, #01-1139 JOO CHIAT COMPLEX, S(420002)",481,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE04040C000,"1 UPPER ALJUNIED LANE, #01-01, S(360001)",482,PRIME SUPERMARKET LIMITED,PRIME SUPERMARKET
SE04069A000,"209 NEW UPPER CHANGI ROAD, #01-631, S(460209)",483,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
SE04109X000,"89 BEDOK NORTH STREET 4, #01-107, S(460089)",484,MCP FAIRMART PTE. LTD.,MCP FAIRMART
SE04130B000,"41 JALAN TIGA, #01-05, S(390041)",485,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE05117K000,"253 SERANGOON CENTRAL DRIVE, #01-241, S(550253)",486,TEO BOBBY,NTUC FAIRPRICE
SE06112L000,"15 SIGLAP ROAD, #01-01 MANDARIN GARDENS, S(448912)",487,HAO MART PTE. LTD.,HAO MART
SE06125B000,"54 BAYSHORE ROAD, #01-07-08 BAYSHORE PARK, S(469979)",488,HAO MART PTE. LTD.,HAO MART
SE06465L000,"387 UPPER ALJUNIED ROAD, S(367872)",489,TAN PAK NANG,sing hiong market bakery
S02052K000,"475 TAMPINES STREET 44, #01-145, S(520475)",453,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02053J000,"107 TAMPINES STREET 11, #01-353/9, S(521107)",454,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02054E000,"11 RIVERVALE CRESCENT, #03-01 RIVERVALE MALL, S(545082)",455,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02055C000,"118 RIVERVALE DRIVE, #01-08 RIVERVALE PLAZA, S(540118)",456,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02056B000,"301 UPPER THOMSON ROAD, #03-25 THOMSON PLAZA, S(574408)",457,NTUC FAIRPRICE CO-OPERATIVE LTD,FINEST
S02057A000,"181 LORONG 4 TOA PAYOH, #01-602, S(310181)",458,COLD STORAGE SINGAPORE (1983) PTE LTD,Giant Super
S02058V000,"200 UPPER THOMSON ROAD, #B1-01 THOMSON IMPERIAL COURT, S(574424)",459,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
S02059X000,"106 HOUGANG AVENUE 1, #01-1213, S(530106)",460,PRIME SUPERMARKET (1996) PTE LTD,prime supermarket
S02103A000,"500 LORONG 6 TOA PAYOH HDB HUB, S(310500)",461,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02127E000,"108 PUNGGOL FIELD, #01-02, S(820108)",462,PRIME SUPERMARKET LIMITED,PRIME SUPERMARKET
S02151E000,"263 COMPASSVALE STREET, #01-01, S(540263)",463,PRIME SUPERMARKET LIMITED,PRIME
S02169J000,"525 ANG MO KIO AVENUE 10, #01-2401, S(560525)",464,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
S02185J000,"982 BUANGKOK CRESCENT, #01-01, S(530982)",465,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT
S02204N000,"260 KIM KEAT AVENUE, #01-01, S(310260)",466,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT super
S02210X000,"631 BEDOK RESERVOIR ROAD, #01-954, S(470631)",467,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT EXPRESS
S91085V000,"110 LENGKONG TIGA, #01-233/5, S(410110)",468,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S93171X000,"642 HOUGANG AVENUE 8, #01-197, S(530642)",469,ANG MO SUPERMARKET PTE LTD,ang mo supermarket
S94081C000,"279 BISHAN STREET 24, #01-62/64, S(570279)",470,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S97079B000,"4 LORONG 7 TOA PAYOH, #01-107, S(310004)",471,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG
S97166P000,"21 HOUGANG STREET 51, #01-52 HOUGANG GREEN SHOPPING MALL, S(538719)",472,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
S98084K000,"734 PASIR RIS STREET 72, #01-37 (PASIR RIS 734 NEW MARKET), S(510734)",473,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SCE19004X000,"88 DESKER ROAD, S(209610)",474,MURUGAN TRADERS PTE. LTD.,MURUGAN TRADERS
SCE19007L000,"13 STAMFORD ROAD CAPITOL PIAZZA, S(178905)",475,HAO MART PTE. LTD.,HAO MART
SCE19016K000,"225 LAVENDER STREET (FIRST STOREY), S(338776)",476,THE IRON GROCER PTE. LTD.,The Iron Grocer
SCE19018E000,"10 CLAYMORE HILL AMERICAN CLUB (PART-OF), S(229573)",477,"American Club, The",The Gourmet Pantry
SE06616X000,"212 LORONG 8 TOA PAYOH, #01-43/45, S(310212)",490,LIN POH LING,Hoe Kee Huat Supermarket
SE07216L000,"5 STADIUM WALK, #B1-01 LEISURE PARK, S(397693)",491,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SE07559P000,"65 AIRPORT BOULEVARD, #B2-10 CHANGI AIRPORT TERMINAL 3, S(819663)",492,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE09608P000,"56 MARINE TERRACE, #01-259, S(440056)",493,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SE09706N000,"5 EUNOS CRESCENT, #01-2619, S(400005)",494,NTUC FAIRPRICE CO-OPERATIVE LTD,-
SE10553J000,"80 MARINE PARADE ROAD, #B1-83A PARKWAY PARADE, S(449269)",495,FOUR SEASONS ORGANIC MARKET PTE. LTD.,FOUR SEASONS ORGANIC MARKET
SE10564B000,"23 SERANGOON CENTRAL, #03-42 NEX, S(556083)",496,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE10579K000,"23 SERANGOON CENTRAL, #B2-44/45 NEX, S(556083)",497,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SE11071C000,"89 BEDOK NORTH STREET 4, #01-77/79, S(460089)",498,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE11136C000,"498/500 GEYLANG ROAD GREEN COURT, S(389456)",499,I-TEC SUPERMART PTE LTD,I-TEC SUPERMART
SE11317V000,"1 GEYLANG SERAI, #01-198, S(402001)",500,EN FROZEN PTE LTD,EN FROZEN 
SE11505P000,"291 JOO CHIAT ROAD, #01-01, S(427543)",501,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
SE11577E000,"612-620 GEYLANG ROAD, S(389551)",502,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE11799C000,"80 TANAH MERAH COAST ROAD CHANGI LODGE 2, S(498820)",503,CP MANAGEMENT SERVICES PRIVATE LIMITED,ULTRAMART
SE11930L000,"112 EAST COAST ROAD, #B1-12 112 KATONG, S(428802)",504,COLD STORAGE SINGAPORE (1983) PTE LTD,market place
SE11947P000,"5 CHANGI BUSINESS PARK CENTRAL 1, #B1-08/11 CHANGI CITY POINT, S(486038)",505,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST
SE11D22K000,"5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT, S(486038)",506,WATER TIGER INVESTMENTS PTE. LTD.,Mmmm!
SE12D97J000,"201 TELOK KURAU ROAD, #01-05, S(423910)",507,THE ALASKA GUYS PTE. LTD.,THE ALASKA GUYS
SE12F88V000,"91 UPPER PAYA LEBAR ROAD, S(534821)",508,SARATHI STORES PTE LTD,SARATHI STORE
SE12G19X000,"8 CHANGI BUSINESS PARK AVENUE 1 UE BIZHUB EAST #01-51 & #02-51, S(486018)",509,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE13135L000,"311 NEW UPPER CHANGI ROAD, #B2-60 BEDOK MALL, S(467360)",510,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE13S71X000,"57 NEW UPPER CHANGI ROAD, #01-1334, S(461057)",511,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
SE13S89V000,"2 FIRST STREET, #01-05-16 SIGLAP V, S(458278)",512,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
