year_completed,multigen_sold,bldg_contract_town,multistorey_carpark,street,total_dwelling_units,blk_no,exec_sold,max_floor_lvl,residential,1room_sold,precinct_pavilion,other_room_rental,5room_sold,3room_sold,commercial,4room_sold,miscellaneous,studio_apartment_sold,2room_rental,2room_sold,1room_rental,3room_rental,market_hawker,_id
1982,0,JE,N,JURONG EAST ST 13,238,101,0,16,Y,0,N,0,2,196,N,40,Y,0,0,0,0,0,N,110
1988,0,BD,N,LENGKONG TIGA,10,101,10,4,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,111
1988,0,PRC,N,PASIR RIS ST 12,96,101,96,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,112
1984,0,TP,N,POTONG PASIR AVE 1,120,101,0,16,Y,0,N,0,0,120,N,0,N,0,0,0,0,0,N,113
2001,0,PG,Y,PUNGGOL FIELD,0,101,0,4,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,114
1998,0,SK,N,RIVERVALE WALK,131,101,0,17,Y,0,N,0,75,0,N,56,Y,0,0,0,0,0,N,115
1984,0,SGN,N,SERANGOON NTH AVE 1,144,101,0,13,Y,0,N,0,0,0,N,144,N,0,0,0,0,0,N,116
1988,0,TAP,N,SIMEI ST 1,140,101,0,11,Y,0,N,0,52,0,N,88,Y,0,0,0,0,0,N,117
1973,0,BM,N,SPOTTISWOODE PK RD,76,101,0,20,Y,0,N,0,0,0,N,76,N,0,0,0,0,0,N,118
1981,0,TAP,N,TAMPINES ST 11,120,101,0,11,Y,0,N,0,0,80,N,40,Y,0,0,0,0,0,N,119
1988,0,CCK,N,TECK WHYE LANE,66,101,66,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,120
1982,0,KWN,N,TOWNER RD,44,101,0,4,Y,0,N,0,0,44,Y,0,N,0,0,0,0,0,N,121
1973,0,KWN,N,WHAMPOA DR,96,101,0,25,Y,0,N,0,0,0,Y,96,N,0,0,0,0,0,N,122
1984,0,WL,N,WOODLANDS ST 13,146,101,0,10,Y,0,N,0,2,89,N,55,Y,0,0,0,0,0,N,123
1977,0,YS,N,YISHUN AVE 5,107,101,0,4,Y,0,N,0,1,94,Y,12,N,0,0,0,0,0,N,124
2020,0,TP,N,BIDADARI PK DR,295,101A,0,16,Y,0,N,0,0,91,N,118,N,0,0,86,0,0,N,125
2019,0,SB,N,CANBERRA ST,164,101A,0,15,Y,0,N,0,80,0,N,84,N,0,0,0,0,0,N,126
1992,0,TP,N,LOR 2 TOA PAYOH,64,101A,64,17,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,127
2001,0,PG,N,PUNGGOL FIELD,82,101A,0,16,Y,0,N,0,56,0,N,26,N,0,0,0,0,0,N,128
1984,0,YS,N,YISHUN AVE 5,0,101A,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,129
2019,0,SB,N,CANBERRA ST,240,101B,0,16,Y,0,N,0,0,30,N,60,N,0,0,150,0,0,N,130
1992,0,TP,N,LOR 2 TOA PAYOH,48,101B,48,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,131
2001,0,PG,N,PUNGGOL FIELD,92,101B,0,17,Y,0,N,0,92,0,N,0,Y,0,0,0,0,0,N,132
1984,0,YS,N,YISHUN AVE 5,0,101B,0,1,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,133
