address,latitude,longitude,postal_code,building,road_name
467 SEGAR RD,1.38698243415701,103.773788455756,670467,SEGAR GARDENS,SEGAR ROAD
653 SENJA LINK,1.38692590741026,103.763946218351,670653,NIL,SENJA LINK
367 CLEMENTI AVE 2,1.31294067164982,103.77164865498,120367,NIL,CLEMENTI AVENUE 2
660B JURONG WEST ST 64,1.33620559481206,103.704177389573,642660,NIL,JURONG WEST STREET 64
661D JURONG WEST ST 64,1.33654939871271,103.704582912865,644661,NIL,JURONG WEST STREET 64
635 JURONG WEST ST 65,1.34241399273627,103.698777208379,641635,NIL,JURONG WEST STREET 65
659D JURONG WEST ST 65,1.33640971323273,103.70247892707,644659,NIL,JURONG WEST STREET 65
273A JURONG WEST AVE 3,1.35145036166323,103.703485290422,641273,WENYA,JURONG WEST AVENUE 3
679A JURONG WEST CTRL 1,1.34426725618628,103.705833695408,641679,NIL,JURONG WEST CENTRAL 1
628 JURONG WEST ST 65,1.34220416672257,103.699447645211,640628,NIL,JURONG WEST STREET 65
15 FARRER PK RD,1.31104346812009,103.851660614786,210015,FARRER PARK VIEW,FARRER PARK ROAD
196B PUNGGOL FIELD,1.39900711138631,103.906990550255,822196,NIL,PUNGGOL FIELD
174A EDGEDALE PLAINS,1.39637824000455,103.911280777695,821174,NIL,EDGEDALE PLAINS
56 STRATHMORE AVE,1.29336074269525,103.809856966934,140056,NIL,STRATHMORE AVENUE
350C CANBERRA RD,1.44996054030355,103.82038215131,753350,NIL,CANBERRA ROAD
351A CANBERRA RD,1.45038763174432,103.820209041546,751351,NIL,CANBERRA ROAD
354C ADMIRALTY DR,1.45064444362685,103.818249469516,753354,NIL,ADMIRALTY DRIVE
307A ANCHORVALE RD,1.38939756436216,103.888042664458,541307,ANCHORVALE PLACE,ANCHORVALE ROAD
291B COMPASSVALE ST,1.39582487078481,103.898497580022,542291,COMPASSVALE LODGE,COMPASSVALE STREET
122A SENGKANG EAST WAY,1.38661451456829,103.906024040147,541122,RIVERVALE BANK,SENGKANG EAST WAY
585 WOODLANDS DR 16,1.42920597374185,103.79540833238,730585,NIL,WOODLANDS DRIVE 16
316A ANG MO KIO ST 31,1.36476598625413,103.846907899709,562316,TECK GHEE VISTA,ANG MO KIO STREET 31
9 CANTONMENT CL,1.27530180077967,103.839207273761,080009,CANTONMENT TOWERS,CANTONMENT CLOSE
118A JLN MEMBINA,1.28142028197972,103.825645216312,161118,MEMBINA 118,JALAN MEMBINA
74A REDHILL RD,1.2879638071767,103.816243088714,151074,NIL,REDHILL ROAD
609 BT PANJANG RING RD,1.38285734125021,103.762010135941,670609,NIL,BUKIT PANJANG RING ROAD
620 BT PANJANG RING RD,1.38585558267615,103.761737460728,670620,NIL,BUKIT PANJANG RING ROAD
621 SENJA RD,1.38602106063185,103.762854282454,670621,NIL,SENJA ROAD
623 SENJA RD,1.38625610118184,103.762201338577,670623,NIL,SENJA ROAD
686C CHOA CHU KANG CRES,1.40468369607815,103.74900201661,683686,NIL,CHOA CHU KANG CRESCENT
689A CHOA CHU KANG DR,1.40298901385209,103.750320068403,681689,NIL,CHOA CHU KANG DRIVE
96 ALJUNIED CRES,1.32165649786917,103.885423356978,380096,NIL,ALJUNIED CRESCENT
39 TEBAN GDNS RD,1.32136881127061,103.742845114726,600039,NIL,TEBAN GARDENS ROAD
657B JURONG WEST ST 65,1.33596098683449,103.700840300361,642657,NIL,JURONG WEST STREET 65
659B JURONG WEST ST 65,1.336907296624,103.701982068141,642659,NIL,JURONG WEST STREET 65
182 YUNG SHENG RD,1.33369129501334,103.722503178422,610182,CORPORATION SPRING,YUNG SHENG ROAD
652C JURONG WEST ST 61,1.33664254892288,103.697202755036,643652,NIL,JURONG WEST STREET 61
665B JURONG WEST ST 64,1.33979831711037,103.702943619809,642665,NIL,JURONG WEST STREET 64
126A EDGEDALE PLAINS,1.39410054969153,103.911356165393,821126,NIL,EDGEDALE PLAINS
55 STRATHMORE AVE,1.29338294925716,103.809330719416,140055,NIL,STRATHMORE AVENUE
307C ANCHORVALE RD,1.3899013843277,103.887121427015,543307,ANCHORVALE PLACE,ANCHORVALE ROAD
311A ANCHORVALE LANE,1.39096468167495,103.884060305383,541311,ANCHORVALE VISTA,ANCHORVALE LANE
305D ANCHORVALE LINK,1.38903342950987,103.887299862674,544305,ANCHORVALE PLACE,ANCHORVALE LINK
260D SENGKANG EAST WAY,1.39443376269882,103.895863980712,544260,COMPASSVALE NORTH GATE,SENGKANG EAST WAY
115C YISHUN RING RD,1.43378416383121,103.827489711438,763115,CHONG PANG GARDEN,YISHUN RING ROAD
315A ANG MO KIO ST 31,1.36421831526448,103.846861474806,562315,TECK GHEE VISTA,ANG MO KIO STREET 31
596D ANG MO KIO ST 52,1.37187135282659,103.851030423419,564596,CITY VIEW @ CHENG SAN,ANG MO KIO STREET 52
619 BT PANJANG RING RD,1.38591583521399,103.76236655609,670619,NIL,BUKIT PANJANG RING ROAD
611 BT PANJANG RING RD,1.38387209680691,103.761859831513,670611,NIL,BUKIT PANJANG RING ROAD
465 SEGAR RD,1.38722762877204,103.772790109806,670465,SEGAR GARDENS,SEGAR ROAD
614 SENJA RD,1.38454850292013,103.760865902822,670614,NIL,SENJA ROAD
622 SENJA RD,1.38593252527851,103.761420950075,670622,NIL,SENJA ROAD
650 SENJA LINK,1.38691070954118,103.763310183378,670650,NIL,SENJA LINK
652 SENJA LINK,1.38744862342634,103.763847246671,670652,NIL,SENJA LINK
607 SENJA RD,1.38251965138698,103.761516280011,670607,NIL,SENJA ROAD
651A JURONG WEST ST 61,1.33707182045034,103.697938258178,641651,NIL,JURONG WEST STREET 61
634 JURONG WEST ST 65,1.34309420970325,103.698866098979,640634,NIL,JURONG WEST STREET 65
6 BEACH RD,1.30399231690916,103.864419251804,190006,BEACH ROAD GARDENS,BEACH ROAD
126C EDGEDALE PLAINS,1.39397053057079,103.910663559632,823126,NIL,EDGEDALE PLAINS
468C ADMIRALTY DR,1.45030915760096,103.814877754821,753468,BLUE RIVERVIEW,ADMIRALTY DRIVE
305A ANCHORVALE LINK,1.38840183014731,103.88816713058,541305,ANCHORVALE PLACE,ANCHORVALE LINK
305C ANCHORVALE LINK,1.38914639671317,103.88787201142,543305,ANCHORVALE PLACE,ANCHORVALE LINK
306C ANCHORVALE LINK,1.38988769881462,103.888114475259,543306,ANCHORVALE PLACE,ANCHORVALE LINK
290C COMPASSVALE CRES,1.39701802009921,103.897534779007,543290,COMPASSVALE LODGE,COMPASSVALE CRESCENT
296B COMPASSVALE CRES,1.3976389016057,103.899287408404,542296,COMPASSVALE LODGE,COMPASSVALE CRESCENT
322A ANCHORVALE DR,1.39152119923122,103.892313717113,541322,ANCHORVALE GROVE,ANCHORVALE DRIVE
299A COMPASSVALE ST,1.39624131422154,103.902632812388,541299,COMPASSVALE GREEN,COMPASSVALE STREET
301B ANCHORVALE DR,1.38930683858364,103.891098273363,542301,ANCHORVALE COURT,ANCHORVALE DRIVE
253 COMPASSVALE ST,1.39399621447321,103.900183233662,540253,COMPASSVALE HAVEN,COMPASSVALE STREET
299C COMPASSVALE ST,1.39634901076212,103.901777949067,543299,COMPASSVALE GREEN,COMPASSVALE STREET
122C SENGKANG EAST WAY,1.38750850228857,103.906143768947,543122,RIVERVALE BANK,SENGKANG EAST WAY
143 LOR 2 TOA PAYOH,1.33588435399266,103.843991340255,310143,NIL,LORONG 2 TOA PAYOH
